base_asset,data_type,expected_rows,rows,coverage,missing_rows,null_close_rows,nonpositive_price_rows,negative_volume_rows,invalid_ohlc_rows,stale_price_run_24h_or_more,longest_stale_price_run_hours,return_outlier_rows,min_monthly_non_null_close,funding_abs_gt_1pct_rows
BTC,spot_klines,56760,56729,0.9994538407329105,31,31.0,0.0,0.0,0.0,False,1.0,0.0,528.0,
BTC,perp_klines,56760,56760,1.0,0,0.0,0.0,0.0,0.0,False,1.0,0.0,528.0,
BTC,mark_price_klines,56760,56568,0.9966173361522199,192,192.0,0.0,0.0,0.0,False,1.0,0.0,528.0,
BTC,premium_index_klines,56760,56591,0.9970225510923185,169,169.0,0.0,0.0,0.0,False,21.0,0.0,528.0,
BTC,funding_rate,7095,7094,0.9998590556730091,1,,,,,,,,,0.0
ETH,spot_klines,56760,56729,0.9994538407329105,31,31.0,0.0,0.0,0.0,False,1.0,0.0,528.0,
ETH,perp_klines,56760,56760,1.0,0,0.0,0.0,0.0,0.0,False,1.0,0.0,528.0,
ETH,mark_price_klines,56760,56712,0.999154334038055,48,48.0,0.0,0.0,0.0,False,1.0,0.0,528.0,
ETH,premium_index_klines,56760,56591,0.9970225510923185,169,169.0,0.0,0.0,0.0,False,21.0,0.0,528.0,
ETH,funding_rate,7095,7094,0.9998590556730091,1,,,,,,,,,0.0
BNB,spot_klines,56760,56729,0.9994538407329105,31,31.0,0.0,0.0,0.0,False,3.0,0.0,528.0,
BNB,perp_klines,56760,55792,0.9829457364341085,968,968.0,0.0,0.0,0.0,False,1.0,0.0,0.0,
BNB,mark_price_klines,56760,55600,0.9795630725863284,1160,1160.0,0.0,0.0,0.0,False,2.0,0.0,0.0,
BNB,premium_index_klines,56760,55623,0.9799682875264271,1137,1137.0,0.0,0.0,0.0,False,15.0,0.0,0.0,
BNB,funding_rate,7095,6973,0.9828047921071177,122,,,,,,,,,0.0
SOL,spot_klines,56760,51383,0.9052677942212826,5377,5377.0,0.0,0.0,0.0,False,3.0,1.0,0.0,
SOL,perp_klines,56760,50465,0.8890944326990838,6295,6295.0,0.0,0.0,0.0,False,2.0,2.0,0.0,
SOL,mark_price_klines,56760,50417,0.8882487667371388,6343,6343.0,0.0,0.0,0.0,False,2.0,0.0,0.0,
