cost_bps,sample,sample_start,sample_end,n_periods,annual_return,annual_volatility,sharpe,total_return,max_drawdown,mean_turnover,mean_gross_exposure,active_events
0,train_2020_2023,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.08721249586017805,0.020756035536819553,4.2017896772950705,0.4163146223652361,-0.023344212263438968,0.006520365339866663,0.9673590504451038,4238
0,forward_2024_onward,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03898422406774562,0.0041948945035048405,9.293254940064463,0.10130254912615522,-0.0015664273932439743,0.0017630537299858366,1.0,2711
7,train_2020_2023,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.08221463582717026,0.020721079206553323,3.9676811717976914,0.3882813373070968,-0.02402787131485462,0.006520365339866663,0.9673590504451038,4238
7,forward_2024_onward,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03763284338371147,0.004168992403367168,9.0268438372103,0.0976244488728899,-0.0015664273932436412,0.0017630537299858366,1.0,2711
20,train_2020_2023,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.07293289576587006,0.02091913837439448,3.4864196823298257,0.3376536723595096,-0.026414368370741292,0.006520365339866663,0.9673590504451038,4238
20,forward_2024_onward,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.035123136399076646,0.004260745306782556,8.243425473746377,0.09082465120997663,-0.002540904501656116,0.0017630537299858366,1.0,2711
30,train_2020_2023,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06579309571871607,0.021298637353607333,3.0890753538076816,0.29994372752195053,-0.028477405807788125,0.006520365339866663,0.9673590504451038,4238
30,forward_2024_onward,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03319259256474215,0.004448486814045647,7.461546802822905,0.08562130745374685,-0.003557812104343472,0.0017630537299858366,1.0,2711
50,train_2020_2023,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.05151349562440808,0.022603562223083018,2.2789989965299324,0.2276201623526326,-0.03406293709767938,0.006520365339866663,0.9673590504451038,4238
50,forward_2024_onward,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.029331504896073165,0.005076668368416158,5.777707497806114,0.07528532033570978,-0.006729268226429386,0.0017630537299858366,1.0,2711
75,train_2020_2023,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.03366399550652308,0.02509717842429595,1.341345825311335,0.1427374273322073,-0.05415447580266142,0.006520365339866663,0.9673590504451038,4238
75,forward_2024_onward,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.024505145310236936,0.006191891194562902,3.9576188502399554,0.062496855805624474,-0.010928052862695603,0.0017630537299858366,1.0,2711
100,train_2020_2023,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.01581449538863809,0.028309208037059677,0.5586343273162316,0.06360942305510098,-0.07551759560936633,0.006520365339866663,0.9673590504451038,4238
100,forward_2024_onward,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.01967878572440071,0.007520591778149662,2.6166538890696716,0.049853059730669225,-0.01511220955603998,0.0017630537299858366,1.0,2711
