sample,cost_model,sample_start,sample_end,n_periods,annual_return,annual_volatility,sharpe,total_return,max_drawdown,mean_turnover,mean_gross_exposure,active_events
train_2020_2023,net_20bps,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.07293289576587006,0.02091913837439448,3.4864196823298257,0.3376536723595096,-0.026414368370741292,0.006520365339866663,0.9673590504451038,4238
forward_2024_onward,net_20bps,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.035123136399076646,0.004260745306782556,8.243425473746377,0.09082465120997663,-0.002540904501656116,0.0017630537299858366,1.0,2711
full,net_20bps,2020-01-01T16:00:00,2026-06-22T08:00:00,7092,0.058479672747909404,0.0166598737530343,3.510211038499519,0.4591456005913106,-0.026414368370741292,0.004701827300613008,0.9798364354201917,6949
2020,net_20bps,2020-01-01T16:00:00,2020-12-31T16:00:00,1096,0.08980918308186889,0.031334432894821976,2.8661499438437223,0.09352313475685947,-0.00785012722111822,0.012035598698329484,0.8841240875912408,969
2021,net_20bps,2021-01-01T00:00:00,2021-12-31T16:00:00,1095,0.14545217883828687,0.026325542620450837,5.525135072630687,0.15614596278692394,-0.02641436837074107,0.009969121367187443,0.9853881278538813,1079
2022,net_20bps,2022-01-01T00:00:00,2022-12-31T16:00:00,1095,0.013679723549779907,0.006843843368235512,1.9988364452161373,0.01374991376378465,-0.003827358149769977,0.0026844464515697396,1.0,1095
2023,net_20bps,2023-01-01T00:00:00,2023-12-31T16:00:00,1095,0.042775085459009425,0.0045073854059810604,9.489999546577305,0.04369166086505727,-0.001366924894103616,0.0013872580995868667,1.0,1095
2024,net_20bps,2024-01-01T00:00:00,2024-12-31T16:00:00,1098,0.06582663093303548,0.0037266410215574656,17.663797117095204,0.06822462198842727,-0.0008613431747431788,0.001990926974854972,1.0,1098
2025,net_20bps,2025-01-01T00:00:00,2025-12-31T16:00:00,1095,0.017402352234906437,0.0035556736598376243,4.894248994633874,0.017548087978382476,-0.0016345774477464214,0.0014379481502769173,1.0,1095
2026_ytd,net_20bps,2026-01-01T00:00:00,2026-06-22T08:00:00,518,0.007501170494597057,0.0059836570018546075,1.2536097059494056,0.0035463074897494895,-0.002540904501656005,0.0019672733958448242,1.0,518
